"filename", "language", "Dart", "CMake", "C++", "YAML", "Markdown", "Ruby", "Swift", "JSON", "XML", "Groovy", "Properties", "HTML", "comment", "blank", "total"
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/extensions/language.dart", "Dart", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/extensions/navigators.dart", "Dart", 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 145
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/helpers/app_bar/app_bar.dart", "Dart", 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 142
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/helpers/app_bar/back_button.dart", "Dart", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/helpers/current_device.dart", "Dart", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/helpers/custom_alert_dialog.dart", "Dart", 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 131
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/helpers/random_int.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/helpers/random_text.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/helpers/screen_size.dart", "Dart", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/helpers/storage/app_settings/app_settings_cubit.dart", "Dart", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 21, 93
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/helpers/storage/app_settings/app_settings_state.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/helpers/svg_picture.dart", "Dart", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/helpers/system_overlay_style.dart", "Dart", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 57
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/material_app/my_app.dart", "Dart", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 88
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/resources/color_manager.dart", "Dart", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 8, 110
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/resources/font_manager.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 41
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/resources/strings_manager.dart", "Dart", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 48
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/resources/styles_manager.dart", "Dart", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 84
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/resources/theme_manager.dart", "Dart", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 98
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/adapt_widget_size.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/adaptive/padding/adaptive_padding.dart", "Dart", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/adaptive/padding/all_padding.dart", "Dart", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/adaptive/padding/bottom_padding.dart", "Dart", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/adaptive/padding/end_padding.dart", "Dart", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/adaptive/padding/horizontal_padding.dart", "Dart", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/adaptive/padding/only_padding.dart", "Dart", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
